Year,Shopping,Business trips,Other,Training,Leisure,Accompanying others,Work
Early 2020,4.080400794,1.523793322,0.804400849,2.309039186,12.68511603,1.610596118,8.599580695
Early 2021,3.624767977,0.787346993,0.434478206,1.192793698,8.388332496,1.290542759,6.123688667
