Discretion,Zahlen,K I u,K I o,Titre
Early 2020,24.00964437,20.60194605,27.41734268,6–17
Early 2020,43.76792712,37.8601877,49.67566655,18–24
Early 2020,39.18512855,36.97198599,41.39827111,25–64
Early 2020,20.96174018,18.65879121,23.26468915,65–79
Early 2020,10.7456461,7.991905443,13.49938675,80+
Early 2021,15.67984585,13.20172441,18.15796729,6–17
Early 2021,26.78262121,22.43887604,31.12636637,18–24
Early 2021,27.63214147,25.91324249,29.35104045,25–64
Early 2021,14.06588833,12.01239361,16.11938304,65–79
Early 2021,7.482006944,4.328273385,10.6357405,80+
